pi_id,inst_id
538216,491
527652,1397
528613,3
564746,46
551949,438
557686,822
518302,100
542417,668
552467,104
530729,8
563980,796
553187,199
440969,88
562712,126
486214,71
502201,44
73917,78
382832,164
532981,71
435840,3
543479,124
359541,8
472582,567
420410,1730
36076,58
48899,68
557906,223
561582,96
559993,16
553216,68
486875,5
156063,1766
288738,74
368649,21
352589,38
515569,29
548220,131
414683,4640
402458,69
542414,400
558282,2221
162387,122
361858,874
553593,104
92175,1927
564932,213
334101,131
416582,8576
193135,4086
558957,141
460491,9037
26296,831
550806,30
30852,2066
523297,5
534685,669
545964,24
264468,109
446168,103
508222,4192
533845,68
554365,169
526856,130
526765,569
509997,74
52185,30
404736,24
521736,69
309314,88
459102,84
553959,1397
18377,24
232716,89
290079,26
550789,788
494088,1321
382828,164
477302,125
562797,2
348906,32
554823,39
475892,38
56979,96
539293,137
554071,22
547339,78
389044,85
378536,128
425932,9410
414683,147
135266,558
450928,391
471959,1177
142661,117
496754,136
517683,137
552282,6916
563299,49
513161,77
343773,153
355467,53
531852,63
438665,117
512465,141
521729,7174
279003,150
527619,206
516082,192
492285,394
487985,130
398928,54
551900,268
558242,3293
551341,4990
398928,128
419625,2446
152226,88
399648,84
471780,1730
56747,6
544620,156
409715,58
483683,88
425154,935
508480,174
553652,19
554303,12206
105669,131
559162,3016
550382,50
490501,38
523522,106
558407,7169
518197,120
460460,131
523968,68
409715,243
223138,137
303104,77
355342,66
503132,104
407625,786
488240,287
279957,585
381076,346
532655,23
179263,93
540404,95
502304,115
541378,10
486378,26
565226,70
380733,366
455087,24
434381,4474
295121,1410
35857,131
537230,147
542053,140
258901,16
552989,39
387907,62
499581,24
525996,104
401360,163
421837,23
560284,105
346782,47
483285,20
518005,21
107865,172
519305,153
433032,10
2048,229
460529,134
549488,24
37090,555
390544,283
427336,4
429548,10
550560,4
476381,66
263692,192
284828,5
562541,109
546219,434
556026,112
103818,2346
287483,19
403380,356
459012,2008
496746,119
528661,49
320720,31
553691,19
456868,77
213632,277
206810,27
561672,13
388248,128
476942,112
564558,574
517820,38
486556,10
25139,135
152390,128
495323,434
416582,103
407625,137
246151,51
274895,47
520681,434
39192,2213
467067,128
526130,351
167054,89
409962,60
544506,1771
544789,84
126264,217
486076,2
357370,1674
532090,23
505604,196
543499,9035
239244,10
564177,206
562746,1674
531979,106
317910,542
298963,95
202606,35
550822,118
562836,125
369489,47
497764,100
490590,172
117703,89
450666,76
339532,5
406694,31
319086,2
565105,47
531031,131
553568,133
550536,133
486434,106
543415,104
559270,17
400310,88
550988,20
512317,88
563333,768
369796,55
523049,39
518130,2286
217789,71
530056,19
563701,38
481368,30
140618,46
400206,6
503560,119
351262,30
551025,109
518195,89
485659,60
502117,117
561951,166
491302,30
545943,85
