pi_id,name
214166,Genevieve Giuliano
554983,James Ostrowski
100808,Jacek Turski
6438,Alberto Canas
545943,Yury Gogotsi
543459,Sherief Reda
521589,Ivan Erill
450626,Dawn Schrader
526997,Deepak Ganesan
558285,John Korb
558308,Joyce Malyn-Smith
551061,Tim Sheard
551173,Yasamin Mostofi
537717,Jennifer Cole
70749,Bennet Yee
425924,Rusty McIntyre
530729,Mary Harrold
549755,Sriram Pemmaraju
409544,Yariv Ephraim
309009,Tsuhan Chen
283093,James Hagadorn
88850,Cynthia Requardt
486156,Pramode Verma
367912,Hossein Hosseini
295407,Oscar Garcia
425164,William Marcy
482198,Arthur Graesser
483366,Qiaozhu Mei
560601,Richard Snodgrass
96449,Yuko Munakata
224431,Alex Dragt
559652,Nasir Memon
127057,Robert Englund
490693,Behrouz Farhang-Boroujeny
533372,Joshua Bloom
259750,Steve Worona
560414,Nicholas Bigelow
406626,Raghavan Manmatha
226350,G.Wesley Hatfield
250512,James Glass
427142,Y. Connie Yuan
489673,Eric Hintz
459411,Albert Kyle
515483,Ryan Williams
460500,Panos Antsaklis
545346,Gang Zhou
152237,Chin-Long Wey
517056,Christopher Freiling
33695,Darwyn Linder
138749,Juan Battle
213072,Ellen Mappen
438772,Jason Eisner
315512,Jeffrey Stuart
522600,Frederick Ytreberg
415014,Richard Wallace
550572,Robert Dick
534424,Martha Kim
409529,Aram Galstyan
555822,David Gamarnik
560650,Anna Balazs
13731,Laura Vandivier
509405,Serap Savari
121660,Wei-xian Zhang
352626,Parvathi Chundi
555889,Craig Tovey
452513,Katrina Mangin
472132,John Helly
430567,Yan Qu
536139,Hal Caswell
415854,David Tyler
484154,Liudong Xing
410225,Vibha Sazawal
546254,David Reed
346811,Shaoping Xiao
464059,Virginia Bailey
561160,Douglas Smith
320068,Amy Bell
527613,Peter Fox
490590,John Orcutt
538846,Rodney Nielsen
402519,Barbara Tversky
538215,Ralph Roskies
523023,Brent Peyton
460642,Erik Learned-Miller
559082,Nell Bailey
