pi_id,pi_name
127,Robert McNaughton
1074,J. Bradley Chen
1235,Ronnie Smith
1265,John Limb
1284,Scott Douglas
1306,Monika Henzinger
1326,William Landi
1329,Smaragda Konstantinidou
1545,Luther Branting
1648,Todd Proebsting
1676,David Baraff
1753,Wai-Yip Chan
1774,Rajendra Yavatkar
1776,James Lumpp
1786,Lorien Pratt
1796,Anthony DeRose
1798,Guanghan Xu
1912,Elmootazabella Elnozahy
1961,David Seith
1962,Sandy Schwab
2033,Russell Turner
2047,Jerry Kidd
2048,Anne Mavor
2049,Beverly Huey
2210,Ray Teitelbaum
2250,Andrew Tolmach
2275,Paul O'Brien
2276,Jack Maxwell
2315,Samuel Abraham
2316,Robert Metz
2368,Arthur Moore
2369,David Binger
2370,Andres Matt
2381,Donald Zitter
2382,Maurice Mitchell
2384,Richard Belaustegi
2399,Leon Binder
2431,Jay Belanger
2535,Patricia Swann
2536,Randy Collins
2537,Joseph Fessler
2539,M. Kirk Hall
2549,Donna Kutnick
2584,Bina Isaac
2665,Patricia McNamara
2666,Daniel Chapman
2672,James Beall
2739,Mark Andonegui
2740,Deborah Boyce
2741,Victoria Wise
2767,Joseph Serene
2977,Cezary Janikow
2998,Thomas Hyatt
3019,Robert Winner
3061,Gary Ewen
3062,Franks Ames
3063,Malcolm Brantz
3089,Inder Singh
3090,"Herman Tietjen
3188,Murray Rosenblatt
3192,Jack Barden
3240,Edgar Sibley
3242,Diane Moots
3243,Damon Hughes
3435,Mark Law
3576,Robert Bland
3768,James Bucklew
3784,Lu-Hsin Klein
3811,Pamela Zave
3859,Jacques Cohen
3897,Michael Pursley
3907,Zvi Galil
3992,Melody Kiang
4015,Darush Davani
4017,Hossein Arsham
4124,Francisco Cervantes-Perez
4158,Melinda Allen
4244,Raymond Miller
4422,Philip Mulry
5533,Kevin Franciosi
5535,Claire Kay
5983,Dana Ron
6113,Martha Stone-Martin
6371,Peter E. Wilkniss
6437,Kenneth Ford
6438,Alberto Canas
6481,Tomasz Imielinski
6494,Thomas Head
6495,Dennis Pixton
6551,Paris Kanellakis
6599,Gregory Burns
6727,Joan Roughgarden
6746,Thomas LeBlanc
6847,Douglas Perednia
6849,Nancy Brown
7085,John R. Howell
7594,Jiezhi Wu
10349,Terry Kammash
10385,Thomas Page
10822,Aditi Dhagat
10889,Noe Lopez-Benitez
10962,Mebarek Alouani
11071,Michael Choti
11072,Elliot Fishman
11073,Gerard Anderson
11443,Chris Weider
11444,Jim Fullton
11548,William Threlfall
11549,Scott Hildreth
11649,G. Martin Hotaling
11682,Lucja Iwanska
11788,Ajoy Datta
11822,William Alzheimer
11903,Naomi L. T. Courter
11904,Hope Williams
11919,David Nickels
11931,William Scruggs
11932,Eruch Kapadia
11959,Allen Schwartz
11970,Edward Crandell
11971,David Hopper
11972,Michael Dever
11973,Mary Hayward
11977,Maxie Green
11978,Dennis Ingolfsland
11985,Norman Hall
12053,Pat McFarling
12063,Kelly Hallas
12064,Robert Rodriguez
12071,Anthony Palmer
12072,Andrew Riggsbee
12073,Raymond Calvert
12098,William Dickson
12099,G. William Grabo
12118,Vickie Booth
12119,Lee Semsen
12120,Jim Grossman
12162,Roger Marshall
12182,Akhtar Jameel
12239,Andre' de Korvin
12270,Barry Poulson
12272,Donald Tuski
12309,Alton Sanders
12312,Douglas Troy
12316,Peter Maurer
12341,Ahmed El-Haggan
12361,Richard Pethia
12362,"Kenneth McNulty
12394,Carol Tretkoff
12579,Glenn Gibson
12848,Gustav Jackson
12849,Gerald Turner
13187,Christopher Schmandt
13191,Steven Hanks
13196,Jacqueline Bishop
13197,Catharine Weimer
13198,Ted Wackerle
13199,E. Jane Markum
13282,Carl Baum
13375,Chin-Tau Lea
13545,Krishna M. Kavi
13627,Robert Cypher
13661,Ann von der Lippe
13731,Laura Vandivier
13769,Donald Childers
13770,J. C. Principe
13807,Liang Shen
14016,Eric Krotkov
14054,Raman Unnikrishnan
14530,Robert Lindsay
14722,Walter Karplus
14909,R. Benjamin Knapp
14979,Brian Woerner
15370,Venkatarama Sundareswaran
15399,Richard Binder
15465,George Whitehead
15486,Charles Kalina
15565,Michael Rees
15566,Edward Tully
15567,Arthur Lindeman
15569,Sandra Grassman
15570,Beth Fitos
15589,Amos Tanner
15590,Wendy Saxena
15631,Thomas Hopking
15632,Johnny Vieira
15696,Shaoul Ezekiel
15699,Joseph Henderson
15701,Yuval Shahar
15717,Vasek Chvatal
15817,Edward DeLuca
15938,Marcia Bates
15941,Efthimis Efthimiadis
15947,Beatrice Fernandez
15948,Susan Barrett
15949,Len Burry
15950,Roy Benton
16046,Daniel Saab
16090,Beatrice Oshika
16106,Clifford Mullis
16158,James W. Harrington
16191,James Tomlinson
16192,John Tector
16194,Deepinder Sidhu
16398,Abdelsalam Heddaya
16452,Srdjan Mirkovic
16471,Ben Hillberry
16489,Kang Yen
16500,Samuel Drake
16526,Ernesto G. Arias
16652,James H. Beach
16696,Krishnamurthy Ganesan
17022,Edward Reingold
17246,David Casasent
17256,Mark Garrett
17359,Amit Chakrabroty
17394,Robert Sanner
17480,Neal Gallagher
17536,Charles Owens
17537,John Courtney
17538,Cathleen Campbell
17939,W. Thomas Miller
18377,Wensheng Wang
19581,Josephine Wilson
20783,Harvey Silverman
21303,Teresa Middleton
21346,Roberto Bamberger
21979,Robert Strom
22530,C. Overstreet
22562,Steven A. Sanchez
22605,Karen Buller
23927,Weijia Shang
24072,Jeffrey Hammersley
24133,Michael Case
24192,Richard J. Anderson
24267,Paul H. Smith
24532,James K. Martin
24590,Kenneth A Kennedy
24883,Leonard Simmons
24911,Lester Hulett
25139,Jian-xing Ma
